freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,FC_E,E7000,KTOE,ME	232.674 	224.420 	230.353 	229.665 	245.486 	244.764 	262.614 	243.173 	256.036 	223.929 	233.783 	: 
A,FC_E,E7000,KTOE,MK	584.781 	578.590 	570.507 	532.518 	524.662 	524.975 	536.601 	535.259 	564.441 	507.162 	480.276 	: 
A,FC_E,E7000,KTOE,MT	167.670 	172.399 	181.771 	182.049 	199.230 	205.302 	212.729 	203.168 	215.123 	231.756 	232.626 	246.229 
A,FC_E,E7000,KTOE,NL	8989.842 	8734.147 	8905.003 	8987.851 	9084.385 	9260.204 	9242.200 	9139.947 	9222.283 	8870.700 	8723.103 	9083.197 
A,FC_E,E7000,KTOE,NO	9581.585 	9374.491 	9590.014 	9848.200 	9892.763 	10065.882 	9992.030 	9990.527 	10512.015 	9884.176 	9916.018 	: 
A,FC_E,E7000,KTOE,PL	10623.990 	10777.857 	10990.423 	11422.055 	11675.658 	12078.139 	12073.221 	11807.526 	12354.854 	12025.427 	11464.103 	11993.015 
A,FC_E,E7000,KTOE,PT	3891.402 	3886.071 	3939.123 	3989.128 	4010.432 	4123.725 	4116.905 	3977.126 	4068.856 	4184.343 	4259.650 	4345.148 
A,FC_E,E7000,KTOE,RO	3493.379 	3603.181 	3699.914 	3719.433 	3843.413 	3918.013 	3918.595 	3785.421 	3959.437 	3674.145 	3587.615 	3694.752 
A,FC_E,E7000,KTOE,RS	2328.031 	2254.944 	2337.833 	2373.345 	2418.236 	2411.750 	2407.064 	2397.302 	2510.720 	2491.876 	2470.602 	: 
A,FC_E,E7000,KTOE,SE	10749.441 	10506.535 	10735.942 	10962.683 	10941.874 	10968.358 	10708.684 	10574.807 	10965.692 	10513.328 	10345.400 	10476.150 
A,FC_E,E7000,KTOE,SI	1073.001 	1071.281 	1099.570 	1119.948 	1163.358 	1179.034 	1176.208 	1113.599 	1157.233 	1121.401 	1063.532 	1064.280 
